weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity
32.379,alive,none,none,1,f,69,1997,1988,unavail,driver,0,4
27.078,alive,none,belted,1,m,22,1997,1984,unavail,driver,0,3
812.869,alive,none,belted,1,f,18,1997,1987,unavail,driver,0,0
923.996,alive,airbag,belted,1,m,67,1997,1991,deploy,driver,1,1
89.627,dead,airbag,belted,0,f,54,1997,1994,nodeploy,driver,0,4
29.081,alive,none,belted,0,f,37,1997,1991,unavail,driver,0,1
29.081,alive,none,belted,1,m,71,1997,1990,unavail,driver,0,1
1156.439,alive,airbag,belted,0,m,33,1997,1995,nodeploy,driver,0,0
1156.439,alive,airbag,belted,0,m,17,1997,1995,nodeploy,pass,0,0
397.171,alive,none,none,0,m,45,1997,1989,unavail,driver,0,0
397.171,alive,none,none,0,m,36,1997,1989,unavail,pass,0,1
79.205,alive,none,none,1,f,19,1997,1989,unavail,driver,0,1
244.39,alive,none,belted,1,f,41,1997,1990,unavail,driver,0,0
241.561,alive,airbag,belted,1,f,26,1997,1992,deploy,driver,1,1
745.351,alive,none,belted,1,m,16,1997,1988,unavail,driver,0,0
745.351,alive,none,belted,1,m,17,1997,1988,unavail,pass,0,0
745.351,alive,airbag,belted,0,m,20,1997,1990,nodeploy,driver,0,0
30.148,alive,none,none,1,m,32,1997,1993,unavail,driver,0,3
30.148,alive,airbag,belted,0,f,52,1997,1995,nodeploy,driver,0,1
199.316,alive,none,belted,1,f,64,1997,1992,unavail,driver,0,2
199.316,alive,none,belted,1,m,36,1997,1988,unavail,driver,0,2
25.069,alive,none,none,1,m,76,1997,1984,unavail,driver,0,3
206.309,alive,airbag,belted,1,m,32,1997,1995,deploy,driver,1,0
206.309,alive,none,belted,0,m,21,1997,1987,unavail,driver,0,1
206.309,alive,none,belted,0,m,25,1997,1987,unavail,pass,0,0
440.462,alive,airbag,belted,0,f,37,1997,1992,nodeploy,driver,0,1
324.453,alive,none,belted,1,m,18,1997,1985,unavail,driver,0,0
98.523,alive,none,belted,1,f,64,1997,1991,unavail,driver,0,3
1343.968,alive,none,belted,1,m,27,1997,1968,unavail,driver,0,0
29.036,alive,none,belted,0,f,20,1997,1986,unavail,driver,0,3
565.864,alive,airbag,none,0,f,17,1997,1996,nodeploy,driver,0,0
565.864,alive,airbag,none,0,f,16,1997,1996,nodeploy,pass,0,0
37.528,alive,airbag,none,0,m,19,1997,1996,nodeploy,pass,0,2
211.897,alive,none,none,0,f,55,1997,1983,unavail,driver,0,1
211.897,alive,none,belted,1,m,45,1997,1986,unavail,driver,0,0
211.897,alive,none,belted,0,f,43,1997,1992,unavail,pass,0,1
457.305,alive,none,belted,1,m,21,1997,1994,unavail,driver,0,0
653.82,alive,none,belted,1,f,62,1997,1988,unavail,pass,0,0
37.528,alive,airbag,belted,0,f,20,1997,1997,deploy,driver,1,3
82.98,alive,none,none,1,m,24,1997,1983,unavail,driver,0,2
82.98,alive,none,none,1,m,62,1997,1983,unavail,pass,0,2
361.101,alive,airbag,belted,0,f,23,1997,1994,nodeploy,driver,0,0
27.078,dead,none,belted,1,m,67,1997,1992,unavail,driver,0,4
91.694,alive,none,none,1,f,21,1997,1989,unavail,driver,0,1
39.373,alive,none,belted,0,f,81,1997,1991,unavail,driver,0,1
84.06,alive,airbag,belted,0,m,50,1997,1992,nodeploy,driver,0,0
51.556,alive,airbag,belted,1,m,40,1997,1995,deploy,driver,1,1
222.369,alive,airbag,belted,1,m,23,1997,1995,nodeploy,driver,0,1
91.694,alive,none,belted,1,f,17,1997,1986,unavail,driver,0,1
227.936,alive,none,belted,0,m,71,1997,1987,unavail,driver,0,0
37.528,alive,none,none,0,f,20,1997,1989,unavail,driver,0,1
101.07,alive,none,none,1,m,26,1997,1987,unavail,pass,0,1
43.661,alive,none,none,0,m,18,1997,1986,unavail,driver,0,3
402.048,alive,none,belted,0,m,21,1997,1982,unavail,driver,0,1
402.048,alive,none,belted,1,f,18,1997,1990,unavail,driver,0,1
29.368,alive,airbag,none,1,m,26,1997,1992,deploy,driver,1,3
29.368,alive,none,none,1,m,55,1997,1992,unavail,pass,0,1
91.694,alive,none,belted,1,m,75,1997,1987,unavail,driver,0,0
30.946,alive,airbag,belted,1,f,57,1997,1995,deploy,driver,1,1
203.86,alive,none,belted,1,f,17,1997,1989,unavail,driver,0,0
25.069,alive,none,none,0,f,77,1997,1989,unavail,driver,0,3
408.725,alive,airbag,none,1,m,22,1997,1994,deploy,driver,1,2
25.069,alive,none,belted,0,m,53,1997,1991,unavail,driver,0,3
37.528,alive,none,belted,1,m,20,1997,1987,unavail,driver,0,3
25.069,alive,none,none,1,m,16,1997,1985,unavail,pass,0,3
573.616,alive,none,belted,1,f,61,1997,1993,unavail,driver,0,1
100.213,alive,airbag,belted,0,m,31,1997,1996,nodeploy,driver,0,5
100.213,alive,airbag,none,0,f,25,1997,1996,nodeploy,pass,0,5
100.213,alive,none,belted,1,m,52,1997,1984,unavail,driver,0,1
82.98,alive,airbag,belted,1,f,30,1997,1993,deploy,driver,1,3
328.911,alive,none,belted,0,m,16,1997,1991,unavail,driver,0,3
328.911,alive,none,belted,0,f,16,1997,1991,unavail,pass,0,2
27.409,alive,none,belted,1,f,18,1997,1987,unavail,driver,0,1
203.148,alive,none,none,1,m,71,1997,1986,unavail,driver,0,2
158.203,alive,airbag,belted,1,f,72,1997,1994,deploy,driver,1,2
108.015,alive,none,belted,1,m,41,1997,1985,unavail,driver,0,1
108.015,alive,none,belted,1,m,54,1997,1987,unavail,driver,0,1
44.333,alive,airbag,belted,1,f,66,1997,1997,deploy,pass,1,1
94.649,alive,none,belted,1,m,29,1997,1988,unavail,driver,0,1
25.492,alive,none,belted,1,m,67,1997,1986,unavail,driver,0,3
25.492,alive,none,none,0,m,46,1997,1985,unavail,pass,0,2
25.492,alive,none,belted,1,m,63,1997,1988,unavail,driver,0,1
25.492,alive,none,belted,1,f,51,1997,1988,unavail,pass,0,3
2321.688,alive,none,belted,1,m,26,1997,1996,unavail,pass,0,0
38.783,alive,none,none,1,m,30,1997,1985,unavail,driver,0,0
190.539,alive,none,none,0,f,28,1997,1986,unavail,driver,0,1
75.108,alive,none,none,0,m,43,1997,1995,unavail,driver,0,1
803.824,alive,none,none,1,m,38,1997,1988,unavail,driver,0,1
157.869,alive,none,none,0,f,53,1997,1984,unavail,driver,0,1
157.869,alive,airbag,belted,1,f,32,1997,1996,nodeploy,driver,0,0
10.441,alive,airbag,belted,1,f,36,1997,1996,nodeploy,driver,0,1
744.744,alive,none,none,1,m,39,1997,1984,unavail,driver,0,2
22.876,alive,none,belted,1,m,26,1997,1987,unavail,driver,0,1
22.876,alive,none,belted,1,m,28,1997,1988,unavail,driver,0,1
81.999,alive,airbag,belted,0,m,49,1997,1992,nodeploy,driver,0,1
219.703,alive,none,belted,1,f,35,1997,1992,unavail,driver,0,1
227.275,alive,none,belted,1,m,38,1997,1990,unavail,driver,0,1
30.694,alive,none,belted,1,f,38,1997,1987,unavail,driver,0,3
9.74,alive,airbag,none,1,m,22,1997,1997,deploy,driver,1,1
543.4,alive,none,none,1,m,26,1997,1986,unavail,driver,0,0
11.257,alive,none,belted,1,f,32,1997,1981,unavail,driver,0,0
1107.54,alive,none,belted,0,f,19,1997,1986,unavail,driver,0,0
242.264,alive,none,none,1,m,31,1997,1989,unavail,driver,0,1
67.138,alive,none,none,1,m,66,1997,1989,unavail,driver,0,3
949.738,alive,none,belted,0,m,43,1997,1990,unavail,driver,0,0
28.166,alive,none,belted,0,f,39,1997,1992,unavail,driver,0,1
28.166,alive,none,belted,1,f,17,1997,1993,unavail,driver,0,3
